source_name
Sander Berge
Saša Lukić
Harrison Reed
Andreas Pereira
Tom Cairney
Antonee Robinson
Calvin Bassey
Issa Diop
Kenny Tete
Bernd Leno
Yoane Wissa
Kevin Schade
Sepp van den Berg
Bryan Mbeumo
Mikkel Damsgaard
Fabio Carvalho
Christian Nørgaard
Mathias Jensen
Vitaly Janelt
Keane Lewis-Potter
Ethan Pinnock
Nathan Collins
Kristoffer Ajer
Mads Roerslev
Mark Flekken
Ben Brereton
Adam Armstrong
Cameron Archer
Joe Aribo
Adam Lallana
Flynn Downes
William Smallbone
Mateus Fernandes
Kyle Walker-Peters
Yukinari Sugawara
Jack Stephens
Jan Bednarek
Taylor Harwood-Bellis
Tyler Dibling
Aaron Ramsdale
Michail Antonio
Niclas Füllkrug
Mohammed Kudus
Jarrod Bowen
Crysencio Summerville
Lucas Paquetá
Edson Álvarez
Tomáš Souček
Guido Rodríguez
Emerson Palmieri
Vladimír Coufal
Max Kilman
Konstantinos Mavropanos
Aaron Wan-Bissaka
Alphonse Areola
Łukasz Fabiański
Erling Haaland
Jack Grealish
Matheus Nunes
Jeremy Doku
İlkay Gündoğan
Kevin De Bruyne
Nathan Aké
Bernardo Silva
Mateo Kovačić
Rico Lewis
Joško Gvardiol
Kyle Walker
Rúben Dias
Manuel Akanji
Ederson
Alexander Isak
Harvey Barnes
Jacob Murphy
Anthony Gordon
Miguel Almirón
Joelinton
Bruno Guimarães
Sean Longstaff
Sandro Tonali
Lloyd Kelly
Lewis Hall
Dan Burn
Emil Krafth
Valentino Livramento
Nick Pope
Dejan Kulusevski
Son Heung-min
Wilson Odobert
Timo Werner
James Maddison
Lucas Bergvall
Yves Bissouma
Rodrigo Bentancur
Pape Matar Sarr
Brennan Johnson
Destiny Udogie
Cristian Romero
Radu Drăgușin
Pedro Porro
Guglielmo Vicario
Nicolas Jackson
Pedro Neto
João Félix
Noni Madueke
Christopher Nkunku
Cole Palmer
Enzo Fernández
Moisés Caicedo
Marc Cucurella
Levi Colwill
Wesley Fofana
Malo Gusto
Mykhailo Mudryk
Robert Sánchez
Jean-Philippe Mateta
Ismaila Sarr
Eberechi Eze
Daichi Kamada
Jeffrey Schlupp
Will Hughes
Cheick Doucouré
Adam Wharton
Tyrick Mitchell
Daniel Muñoz
Chris Richards
Marc Guéhi
Nathaniel Clyne
Dean Henderson
Joshua Zirkzee
Christian Eriksen
Marcus Rashford
Alejandro Garnacho
Amad Diallo
Bruno Fernandes
Kobbie Mainoo
Casemiro
Toby Collyer
Diogo Dalot
Lisandro Martínez
Matthijs de Ligt
Harry Maguire
Noussair Mazraoui
André Onana
Diogo Jota
Darwin Núñez
Luis Díaz
Cody Gakpo
Mohamed Salah
Dominik Szoboszlai
Alexis Mac Allister
Ryan Gravenberch
Andrew Robertson
Kostas Tsimikas
Virgil van Dijk
Ibrahima Konaté
Trent Alexander-Arnold
Conor Bradley
Alisson
Cameron Archer
Ross Stewart
Ben Brereton
Ryan Fraser
Tyler Dibling
Adam Lallana
Mateus Fernandes
Taylor Harwood-Bellis
Lesley Ugochukwu
Maxwel Cornet
Flynn Downes
Kyle Walker-Peters
Jan Bednarek
Jack Stephens
Yukinari Sugawara
Aaron Ramsdale
Joshua Zirkzee
Marcus Rashford
Alejandro Garnacho
Amad Diallo
Bruno Fernandes
Kobbie Mainoo
Christian Eriksen
Manuel Ugarte Ribeiro
Diogo Dalot
Lisandro Martínez
Jonny Evans
Matthijs de Ligt
Casemiro
Noussair Mazraoui
Harry Maguire
André Onana
Danny Welbeck
Evan Ferguson
Georginio Rutter
Julio Enciso
Kaoru Mitoma
Yasin Ayari
Carlos Baleba
Yankuba Minteh
Simon Adingra
Jack Hinshelwood
Ferdi Kadioglu
Lewis Dunk
Jan Paul van Hecke
Joël Veltman
Bart Verbruggen
Liam Delap
George Hirst
Sammie Szmodics
Jack Clarke
Wes Burns
Chiedozie Ogbene
Omari Hutchinson
Conor Chaplin
Kalvin Phillips
Sam Morsy
Massimo Luongo
Leif Davis
Jacob Greaves
Dara O'Shea
Axel Tuanzebe
Arijanet Muric
Jean-Philippe Mateta
Eberechi Eze
Eddie Nketiah
Cheick Doucouré
Will Hughes
Adam Wharton
Tyrick Mitchell
Jeffrey Schlupp
Daniel Muñoz
Ismaila Sarr
Maxence Lacroix
Marc Guéhi
Nathaniel Clyne
Daichi Kamada
Dean Henderson
Jamie Vardy
Stephy Mavididi
Abdul Fatawu Issahaku
Jordan Ayew
Conor Coady
Wilfred Ndidi
Hamza Choudhury
Oliver Skipp
Harry Winks
Victor Bernth Kristiansen
Caleb Okoli
Wout Faes
James Justin
Mads Hermansen
Erling Haaland
Jack Grealish
Bernardo Silva
Sávio
Matheus Nunes
Kevin De Bruyne
İlkay Gündoğan
Mateo Kovačić
Rodri
Rico Lewis
Joško Gvardiol
Manuel Akanji
John Stones
Rúben Dias
Kyle Walker
Ederson
Bryan Mbeumo
Yoane Wissa
Kevin Schade
Vitaly Janelt
Fabio Carvalho
Christian Nørgaard
Mikkel Damsgaard
Yehor Yarmoliuk
Keane Lewis-Potter
Nathan Collins
Ethan Pinnock
Sepp van den Berg
Kristoffer Ajer
Mads Roerslev
Mark Flekken
Diogo Jota
Darwin Núñez
Luis Díaz
Cody Gakpo
Mohamed Salah
Dominik Szoboszlai
Alexis Mac Allister
Conor Bradley
Ryan Gravenberch
Andrew Robertson
Kostas Tsimikas
Virgil van Dijk
Ibrahima Konaté
Curtis Jones
Trent Alexander-Arnold
Alisson
Chris Wood
Jota Silva
Elliot Anderson
Anthony Elanga
Nicolás Domínguez
Callum Hudson-Odoi
Morgan Gibbs-White
Morato
James Ward-Prowse
Ryan Yates
Álex Moreno
Neco Williams
Murillo
Nikola Milenković
Ola Aina
Matz Sels
Raúl Jiménez
Rodrigo Muniz
Alex Iwobi
Sander Berge
Adama Traoré
Emile Smith Rowe
Tom Cairney
Saša Lukić
Reiss Nelson
Andreas Pereira
Harrison Reed
Antonee Robinson
Calvin Bassey
Joachim Andersen
Kenny Tete
Bernd Leno
Michail Antonio
Crysencio Summerville
Mohammed Kudus
Jarrod Bowen
Tomáš Souček
Lucas Paquetá
Guido Rodríguez
Carlos Soler
Edson Álvarez
Danny Ings
Emerson Palmieri
Vladimír Coufal
Max Kilman
Konstantinos Mavropanos
Aaron Wan-Bissaka
Alphonse Areola
Ollie Watkins
Emi Buendía
Jacob Ramsey
Jhon Durán
John McGinn
Jaden Philogene Bidace
Morgan Rogers
Youri Tielemans
Amadou Onana
Ross Barkley
Lucas Digne
Ian Maatsen
Pau Torres
Ezri Konsa
Lamare Bogarde
Emiliano Martínez
Dominic Calvert-Lewin
Iliman Ndiaye
Jesper Lindstrøm
Jack Harrison
Jake O'Brien
Dwight McNeil
Tim Iroegbunam
Beto
Idrissa Gana Gueye
Orel Mangala
Vitaliy Mykolenko
James Garner
Michael Keane
James Tarkowski
Ashley Young
Jordan Pickford
Evanilson
Luis Sinisterra
Marcus Tavernier
Enes Ünal
Antoine Semenyo
Justin Kluivert
Philip Billing
Ryan Christie
Alex Scott
Lewis Cook
Milos Kerkez
Marcos Senesi
Illia Zabarnyi
Adam Smith
Julian Araujo
Mark Travers
Nicolas Jackson
Christopher Nkunku
Pedro Neto
Jadon Sancho
Noni Madueke
João Félix
Cole Palmer
Renato Veiga
Moisés Caicedo
Marc Cucurella
Levi Colwill
Wesley Fofana
Axel Disasi
Tosin Adarabioyo
Robert Sánchez
Dominic Solanke
Son Heung-min
Brennan Johnson
Wilson Odobert
James Maddison
Timo Werner
Rodrigo Bentancur
Pape Matar Sarr
Dejan Kulusevski
Destiny Udogie
Micky van de Ven
Cristian Romero
Pedro Porro
Guglielmo Vicario
Leandro Trossard
Gabriel Jesus
Kai Havertz
Gabriel Martinelli
Raheem Sterling
Jorginho
Thomas Partey
Bukayo Saka
Ethan Nwaneri
Jurriën Timber
Gabriel Magalhães
William Saliba
Ben White
David Raya
Jørgen Strand Larsen
Gonçalo Guedes
Matheus Cunha
Jean-Ricner Bellegarde
Hwang Hee-chan
João Gomes
André
Tommy Doyle
Mario Lemina
Rayan Aït-Nouri
Carlos Forbs
Craig Dawson
Yerson Mosquera
Nélson Semedo
Matt Doherty
Sam Johnstone
Alexander Isak
Harvey Barnes
Anthony Gordon
Jacob Murphy
Joelinton
Joe Willock
Bruno Guimarães
Lloyd Kelly
Sean Longstaff
Sandro Tonali
Lewis Hall
Dan Burn
Fabian Schär
Valentino Livramento
Kieran Trippier
Nick Pope
Jarrod Bowen
Crysencio Summerville
Michail Antonio
Mohammed Kudus
Emerson Palmieri
Aaron Cresswell
Lucas Paquetá
Andy Irving
Guido Rodríguez
Tomáš Souček
Aaron Wan-Bissaka
Max Kilman
Edson Álvarez
Carlos Soler
Konstantinos Mavropanos
Alphonse Areola
Nicolas Jackson
Christopher Nkunku
Jadon Sancho
Pedro Neto
Noni Madueke
Cole Palmer
João Félix
Enzo Fernández
Kiernan Dewsbury-Hall
Moisés Caicedo
Marc Cucurella
Levi Colwill
Tosin Adarabioyo
Wesley Fofana
Axel Disasi
Robert Sánchez
Darwin Núñez
Federico Chiesa
Luis Díaz
Cody Gakpo
Mohamed Salah
Dominik Szoboszlai
Curtis Jones
Alexis Mac Allister
Ryan Gravenberch
Andrew Robertson
Virgil van Dijk
Ibrahima Konaté
Trent Alexander-Arnold
Caoimhín Kelleher
Evanilson
Enes Ünal
Marcus Tavernier
Antoine Semenyo
Luis Sinisterra
Justin Kluivert
